_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test
3010,59,1737440717,66.25204029943153,3.4648644502026182,65.62201255247516,3.466464552238806,1.0,0.041614379982664096,sgd,0.21793510466131905,0.9314821846997252,10,72,1727,165,2,0.6680380748320243,glad-sweep-42,,,,,
432,8,1737437703,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.02208620678363137,sgd,0.30889242961774643,0.9817302513822332,10,151,1989,4,4,0.45848117656259696,genial-sweep-41,{'runtime': 430},0.03065134099616858,0.08182349503214494,NaN,NaN
4069,90,1737437263,67.18678968355334,3.243737102004717,65.9919364894634,3.2542405686936937,1.0,0.015682732820360822,sgd,0.24030198488512008,0.8533337254422897,10,218,877,140,7,0.5531600608634106,vital-sweep-40,{'runtime': 4067},25.632183908045977,17.808299240210403,2.62587890625,2.6524179193037973
1907,38,1737433190,68.21852093985825,1.1189797635699512,65.97946714327279,1.1870196744526476,0.1,0.022657318909243353,sgd,0.2805268282776359,0.824697119463273,10,49,1950,66,1,0.5437245841594947,scarlet-sweep-39,{'runtime': 1905},47.394636015325666,33.9041496201052,1.8387245435393256,2.2445033482142858
636,12,1737431275,47.07214325607977,2.14808129789272,40.6126605428322,2.252096737132353,0.1,0.03876321672344957,sgd,0.1903809531599452,0.9241511406738876,10,177,2017,128,7,0.45104895402623674,ruby-sweep-38,{'runtime': 634},15.869731800766283,13.547632963179426,2.523358319256757,2.7981435244845363
1821,42,1737430634,62.17923462252837,1.867441421297188,59.71154245812378,1.933669424584871,0.1,7.262611453082713e-05,sgd,0.26719226823807796,0.8760831513599764,10,89,1530,95,1,0.7446505158890842,peachy-sweep-37,{'runtime': 1819},9.555555555555555,10.695499707773232,2.6989795918367347,2.6340774773316062
3109,38,1737428809,62.44506886145879,3.2066790083168812,59.34993141859594,3.2319757989112365,1.0,0.06327184257173356,sgd,0.48571209434013674,0.9157992451722368,10,8,1506,35,1,0.40598573550644845,morning-sweep-36,{'runtime': 3107},7.118773946360153,9.117475160724725,2.727352366727941,2.666412824333801
1405,30,1737425695,67.57428421749917,1.0983241520747498,65.95868489962177,1.1625176553672316,0.1,0.0225104899537665,sgd,0.32529861547977906,0.915826232182841,10,136,2003,68,2,0.4428757258559297,autumn-sweep-35,{'runtime': 1403},27.662835249042143,21.51957919345412,2.5712687174479165,2.7568514384920637
751,14,1737424281,70.76905758731615,1.0249610430267897,69.31293902489712,1.0735431539601292,0.1,0.014796263688837463,sgd,0.1297190396617184,0.8629685337447575,10,104,1455,7,6,0.48774762464259486,usual-sweep-34,{'runtime': 748},41.18773946360153,28.86031560490941,2.2084573412698414,2.7773792613636363
2204,50,1737423516,72.24543340938907,0.9680423585061784,70.63053327237209,1.0369273040254237,0.1,0.0006811461934807528,sgd,0.2261614591392539,0.8204508697897108,10,204,1767,46,5,0.5123314504696925,eager-sweep-33,{'runtime': 2202},45.42528735632184,34.897720631209815,1.9830780029296875,2.3563755580357144
3642,80,1737421308,67.04564642314403,3.1474065445586974,65.49731909056902,3.1630859375,1.0,0.029729846453266564,sgd,0.20417420608342696,0.9438251007612372,10,198,979,114,7,0.4040443749532496,glad-sweep-32,{'runtime': 3640},31.632183908045977,18.44535359438925,2.584753787878788,2.6967492816091956
618,12,1737417652,58.236748336371235,1.8416560711246903,52.466852321376614,1.947456314718935,0.1,0.05065714460998162,sgd,0.20775223318005445,0.9657190606574996,10,143,977,166,6,0.5306286811258795,jolly-sweep-31,{'runtime': 616},34.37547892720306,26.107539450613675,2.006782863451087,2.243636067708333
588,12,1737417024,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.038944298915880915,sgd,0.13472212197629196,0.9619886773567284,10,198,1918,126,4,0.6375282296904898,glowing-sweep-30,{'runtime': 587},0.03065134099616858,0.08182349503214494,NaN,NaN
2183,42,1737416427,66.35898013170485,3.15694969424114,64.17141194563365,3.175089368081181,1.0,0.01930451716318995,sgd,0.2304494282230257,0.8442617841165283,10,89,1247,178,5,0.49056784910770235,clean-sweep-29,{'runtime': 2181},38.47509578544061,26.63939216832262,2.543925382653061,2.609506557642487
1342,20,1737414236,33.75705175108563,3.659780462371317,25.429153331393657,3.6784264533645654,1.0,0.07602409103236318,sgd,0.4315628709814697,0.9658902188835006,10,41,838,48,7,0.6709193210506146,brisk-sweep-28,{'runtime': 1340},5.969348659003831,4.0444184687317355,2.7513775960031346,2.780787417763158
1898,40,1737412888,65.05621917903113,3.4332731384135733,63.75576707261315,3.4418294270833334,1.0,0.00533966753459102,sgd,0.49272634118932646,0.9895200030591136,10,134,826,20,5,0.6512355771323207,crimson-sweep-27,{'runtime': 1897},35.287356321839084,22.98655756867329,2.654655612244898,2.6978302001953125
1655,32,1737410981,64.80510540284278,1.653078019215452,63.51884949499148,1.6876379114980915,0.1,0.015682960060419072,sgd,0.28066709641509263,0.8203270018921962,10,46,1872,16,1,0.728044172061709,vivid-sweep-26,{'runtime': 1653},29.15708812260536,17.194623027469316,2.326900858274648,2.797074512768817
542,12,1737409315,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.09159985185544904,sgd,0.3378352970673378,0.8427133620996534,10,237,901,26,3,0.6977470716679715,vibrant-sweep-25,{'runtime': 540},0.03065134099616858,0.08182349503214494,NaN,NaN
1808,42,1737408768,64.36089379186132,3.5764899553571428,62.19709879878632,3.5814025042808217,1.0,0.05984818498266436,sgd,0.3250528304772091,0.9677773647778708,10,165,1509,134,1,0.7378945976506747,blooming-sweep-24,{'runtime': 1806},33.8544061302682,23.36060783167738,2.6775146484375,2.7089092548076925
2945,66,1737406956,66.24684484199315,3.16544140625,64.52886653643127,3.181919642857143,1.0,0.004887932592576439,sgd,0.15987448614855762,0.8970046596488888,10,231,760,124,7,0.45984207157513335,rose-sweep-23,{'runtime': 2943},35.9080459770115,22.957334891876098,2.566371984649123,2.6478645833333334
629,12,1737404002,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.07680158402962386,sgd,0.26634094318640755,0.8946351009068647,10,146,1243,42,6,0.7999323984535169,vague-sweep-22,{'runtime': 627},0.03065134099616858,0.08182349503214494,NaN,NaN
2259,38,1737403368,65.97581514562434,3.594026543883347,64.37092148468349,3.59819647606383,1.0,0.0882200491470605,sgd,0.39534875930590896,0.9494818484226856,10,32,745,101,3,0.7676692637692196,lunar-sweep-21,{'runtime': 2249},33.77777777777778,23.331385154880188,2.6930003446691178,2.716935601635514
1889,36,1737401104,65.93598330526343,1.7121364575622997,64.47483270293861,1.7634571697695036,0.1,0.08307745145462427,sgd,0.4925613577041584,0.9109633960845404,10,57,1310,74,4,0.7519650983755665,deep-sweep-20,{'runtime': 1888},33.55555555555556,22.133255406195207,2.346236183133188,2.6942807828073088
1706,38,1737399210,66.58498253027436,1.5171621387569278,63.63938650816742,1.5987881747159092,0.1,0.05434011614370349,sgd,0.33533872532685194,0.8483972305078599,10,183,1026,166,3,0.7193265343063742,upbeat-sweep-19,{'runtime': 1704},34.735632183908045,28.620689655172416,2.297634548611111,2.4092835771276597
1128,26,1737397496,68.87141675794797,1.153534578022204,68.07431730329606,1.2037391902515724,0.1,0.09432002741363148,sgd,0.27876526397497275,0.9253016088411384,10,152,1723,53,1,0.49196195484371785,iconic-sweep-18,{'runtime': 1126},48.98850574712644,37.60958503798947,2.557708030523256,2.8091641316371683
657,12,1737396363,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.07799231513162352,sgd,0.31825321022700687,0.9819330818163438,10,65,1164,88,2,0.5603981988631683,hearty-sweep-17,{'runtime': 655},0.03065134099616858,0.08182349503214494,NaN,NaN
3051,70,1737395692,68.57960523182564,1.130531374952399,66.13741219502057,1.2052064324817515,0.1,0.08381610693941917,sgd,0.15385997298419843,0.8759745337956075,10,176,1488,93,4,0.6189320238744661,light-sweep-16,{'runtime': 3050},31.95402298850575,19.666861484511983,2.326614583333334,2.811503507653061
3318,76,1737392573,67.75136272519062,1.163987802669702,66.54474417058066,1.2179001433939871,0.1,0.007142205845826599,sgd,0.3781245930473211,0.8710760584644257,10,153,1300,153,2,0.6125852548730597,fluent-sweep-15,{'runtime': 3317},26.620689655172413,19.479836353009937,2.487758902616279,2.9768763950892856
5451,66,1737389246,68.00550718488468,3.51857098573771,65.17311608961303,3.5280244213684537,1.0,0.06707372731240725,sgd,0.1860402648803735,0.8270361358678618,10,15,1764,76,4,0.7130167648018855,charmed-sweep-14,{'runtime': 5450},42.26053639846744,28.918760958503796,2.659222341954023,2.704576577563541
965,16,1737383787,38.6316896926454,2.425758728379244,31.925682696703937,2.534736867331288,0.1,0.03670811469078996,sgd,0.4979889480061339,0.8916407197777904,10,74,1892,118,7,0.611594103537451,eternal-sweep-13,{'runtime': 964},11.563218390804597,11.513734658094682,2.696735963983051,3.025146484375
1786,42,1737382807,66.2104766399245,1.8337890625,64.75331476786234,1.8758962970890412,0.1,0.0667186933595995,sgd,0.2565257770785397,0.8333453197758219,10,165,1411,64,2,0.7699745352185375,wandering-sweep-12,{'runtime': 1784},44.2911877394636,35.46464056107539,2.23115234375,2.3212139423076925
2577,58,1737381012,66.59017798771274,3.556359003922816,64.99854524294443,3.559673526422764,1.0,0.0814458842829686,sgd,0.15371215007150002,0.9584686646360888,10,196,879,153,5,0.7195903060691737,comic-sweep-11,{'runtime': 2576},36.2911877394636,25.48801870251315,2.6761310634328357,2.7051447088068183
