t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name,_runtime,_step,_timestamp,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test,train_acc,train_loss,val_acc,val_loss
0.01,0.08581805820797883,sgd,0.22474650937344395,0.850158988185267,10,130,753,43,1,0.6138326716572894,vocal-sweep-42,,,,,,,,,,,,
1.0,0.06010818102982321,sgd,0.275441127530645,0.8702367895569346,10,225,1482,88,3,0.5498773113014526,feasible-sweep-41,2190.0,50.0,1737440737.0,{'runtime': 2188},38.08429118773947,27.831677381648156,2.5807179418103448,2.5928368506493507,66.14726524109086,3.2477501977848102,64.32935699738144,3.26241238317757
0.01,0.09216292217452568,sgd,0.29131491226656114,0.9082735279971916,10,101,1227,96,7,0.4126866492795697,rose-sweep-40,672.0,12.0,1737438542.0,{'runtime': 671},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.1,0.025656136885824337,sgd,0.41375138964759206,0.918405156927924,10,56,1285,153,3,0.6682149985299357,clear-sweep-39,5135.0,106.0,1737437861.0,{'runtime': 5134},39.877394636015325,26.32378725891292,2.1433084602029915,2.4982064440359477,69.64813764498572,1.2090672348484848,68.63543788187373,1.2436920875726745
0.01,0.057306730185302704,sgd,0.1332821270932646,0.810069383311174,10,135,550,156,6,0.4021989758989686,dutiful-sweep-38,603.0,12.0,1737432698.0,{'runtime': 601},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.02332209217145084,sgd,0.12391635476728044,0.8578619732137287,10,61,2014,97,7,0.46560109000309013,ruby-sweep-37,3970.0,64.0,1737432091.0,{'runtime': 3968},28.39846743295019,21.35593220338983,2.600786726051402,2.646574733096086,67.47773530010261,3.1460258780036967,65.88386882247808,3.1612143987341774
0.01,0.002907618605567819,sgd,0.2901147302821954,0.8927839557014576,10,206,1920,16,5,0.4011453234316364,faithful-sweep-36,584.0,12.0,1737428116.0,{'runtime': 583},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.1,0.09278530830138323,sgd,0.3957262127556115,0.945817314538386,10,139,813,21,7,0.7979462565786547,colorful-sweep-35,1009.0,20.0,1737427527.0,{'runtime': 1007},8.781609195402298,6.890707188778491,2.644572805851064,2.853578629032258,34.67664771767885,2.918698527752708,26.035994846003575,3.001683728448276
1.0,0.06682366522230891,sgd,0.4413001776509923,0.9457452051186604,10,227,1429,150,4,0.6138727673972468,comic-sweep-34,3555.0,84.0,1737426513.0,{'runtime': 3554},43.333333333333336,28.75511396843951,2.6129445043103448,2.701634457236842,67.40543185075182,3.3516488365667976,65.24793216675673,3.3656397405660377
0.01,0.08811653427661864,sgd,0.4256384162097474,0.967937597099754,10,141,544,44,1,0.7485095811256699,fearless-sweep-33,592.0,12.0,1737422952.0,{'runtime': 591},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.025974778060343165,sgd,0.3842610496208295,0.858435854950928,10,239,1184,67,3,0.4945092583016053,denim-sweep-32,1793.0,42.0,1737422354.0,{'runtime': 1791},32.65900383141763,26.154295733489185,2.600816761363636,2.6314290364583335,65.89615146490252,3.1808569512668043,63.888773431979715,3.195119121287129
0.1,0.08281366083908626,sgd,0.4395094059311835,0.9185748420259358,10,27,1430,115,4,0.5418661437799995,soft-sweep-31,2201.0,34.0,1737420553.0,{'runtime': 2199},48.513409961685824,37.83167738164816,1.9245000161415289,2.1688713771687698,67.61065241956783,1.1565413420970925,64.4706762542084,1.2468371198850896
1.0,0.001499705983390376,sgd,0.11759406384930088,0.9148257847161668,10,82,1369,62,4,0.7198681168276254,royal-sweep-30,4501.0,92.0,1737418344.0,{'runtime': 4499},14.919540229885058,10.81823495032145,2.72711181640625,2.7406549043062203,66.9547259179724,3.5334880857294997,65.28534020532857,3.538438031462585
1.0,0.05562578184043653,sgd,0.36787746638882735,0.8882540004627387,10,190,1052,147,7,0.7194065722102074,autumn-sweep-29,2116.0,46.0,1737413838.0,{'runtime': 2115},39.17241379310345,26.0958503798948,2.6614017210144927,2.691706730769231,65.95416740629776,3.5554279528166117,63.77239286753398,3.561792568897638
1.0,0.0698215856804723,sgd,0.3777093397715481,0.8338103039120296,10,89,1861,191,6,0.4054826940051435,dutiful-sweep-28,3514.0,66.0,1737411714.0,{'runtime': 3512},34.85823754789272,24.804208065458795,2.5661936649659864,2.6031209520725387,67.1725021755978,3.1466205520512327,65.0650484226277,3.171002940498155
0.01,0.057201531147697326,sgd,0.21277126206428867,0.8039841147490155,10,176,1222,13,2,0.6852884358806531,charmed-sweep-27,578.0,12.0,1737408196.0,{'runtime': 576},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.07580034738070471,sgd,0.39763044235356104,0.8695584481609003,10,158,1068,10,5,0.6909936918113813,lilac-sweep-26,949.0,20.0,1737407605.0,{'runtime': 948},27.624521072796934,20.192869666861483,2.686441076807229,2.710220756880734,64.22018348623854,3.5023352000683996,62.346730953073696,3.510403901143791
0.1,0.06500940348179107,sgd,0.4065221644511614,0.9071543045376014,10,78,965,51,1,0.6197625864613926,swift-sweep-25,3254.0,68.0,1737406651.0,{'runtime': 3252},31.570881226053636,22.17416715371128,2.4153994605654763,2.8849165482954544,65.5017296543722,1.2874631398759284,62.16800365767489,1.3851480329692556
0.1,0.05735541137447712,sgd,0.28738810716661134,0.8284400973132491,10,56,897,37,7,0.631288823030487,serene-sweep-24,809.0,12.0,1737403388.0,{'runtime': 799},8.835249042145595,8.74926943308007,2.7764089209401708,3.1075814440359477,37.66966415697209,2.480421875,30.217382268589716,2.592600835755814
0.01,0.021254088431159023,sgd,0.4586863650582398,0.9082309379292076,10,31,1501,144,3,0.5040797401226224,chocolate-sweep-23,751.0,12.0,1737402575.0,{'runtime': 749},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.0236275808036628,sgd,0.22287002361783192,0.8088072055438217,10,158,826,96,6,0.5399964567978032,stilted-sweep-22,4323.0,96.0,1737401818.0,{'runtime': 4322},38.59003831417625,26.34716540035067,2.549910579819277,2.62336940940367,67.54484329201502,3.2284114227086183,65.56382227025229,3.242468341503268
1.0,0.09260466034307288,sgd,0.30524806283918304,0.8897701688842489,10,75,1918,162,4,0.5537997935264379,astral-sweep-21,3090.0,60.0,1737397490.0,{'runtime': 3088},33.01149425287356,21.262419637638807,2.610082165948276,2.6683610807860263,67.3790216087734,3.2526348163555197,65.02348393532566,3.271660825545171
1.0,0.034346153451386745,sgd,0.4088124588160408,0.9497071077553412,10,165,797,75,1,0.5806870173509032,different-sweep-20,3082.0,74.0,1737394392.0,{'runtime': 3081},36.4367816091954,24.50613676212741,2.6290283203125,2.6888146033653846,64.7232769481883,3.329010881696429,62.20125524751652,3.3382919520547945
1.0,0.0667582868862611,sgd,0.3750258907450734,0.971573951818129,10,149,1720,58,1,0.4940019257393562,smooth-sweep-19,1780.0,42.0,1737391303.0,{'runtime': 1779},13.517241379310343,10.98772647574518,2.621604225852273,2.6930876358695652,63.6833195509393,3.211550763620245,61.365809052745334,3.2108531057098766
1.0,0.06357887601280308,sgd,0.11121519735607643,0.8301665508749237,10,54,1852,180,6,0.6228065193560224,treasured-sweep-18,3265.0,56.0,1737389517.0,{'runtime': 3263},36.46743295019157,24.102863822326125,2.6330465521694215,2.694240437697161,67.28896701317481,3.3891494273024776,61.41152998877759,3.420968504764574
1.0,0.02277619732742205,sgd,0.3139152220436883,0.9749360866218996,10,92,1702,79,1,0.503578516412624,unique-sweep-17,1893.0,42.0,1737386245.0,{'runtime': 1891},30.13026819923372,24.91525423728814,2.5128603653169015,2.5833648353494625,64.83671110225959,3.198822057945042,61.66507336132009,3.214113191793893
1.0,0.07742170099307516,sgd,0.11166995230129118,0.9042402606887262,10,32,806,152,3,0.4555226043934136,radiant-sweep-16,6495.0,116.0,1737384347.0,{'runtime': 6494},32.2911877394636,20.60783167738165,2.610418581495098,2.694808703271028,69.28229085036651,3.1316392179274035,67.89559000789725,3.1454247007978724
1.0,0.07642423266728643,sgd,0.11866014926401695,0.9540954539356788,10,223,1881,77,1,0.7542480547319146,laced-sweep-15,1780.0,42.0,1737377845.0,{'runtime': 1778},20.513409961685824,17.77323202805377,2.7121292372881354,2.744495738636364,64.08596750241372,3.584082408301158,62.46726796624963,3.5891927083333335
1.0,0.06229061345453,sgd,0.37189506211934054,0.8756539524688032,10,113,843,7,1,0.4999928951942096,dutiful-sweep-14,675.0,14.0,1737376056.0,{'runtime': 674},40.23754789272031,32.22092343658679,2.502643453663793,2.5287186472039473,63.09969649869465,3.2219405500856166,60.93769483353423,3.233769806338028
0.1,0.051769070022236165,sgd,0.35639243929343933,0.9710525709722602,10,106,595,64,7,0.7112955101004803,rose-sweep-13,752.0,14.0,1737375367.0,{'runtime': 751},7.96168582375479,6.4114552893045005,2.7939295614919355,3.063994984567901,35.075832030861015,2.687871981126664,25.300303420757302,2.799679928414097
0.01,0.07758835673063777,sgd,0.4383142182004107,0.8354598139528805,10,120,1321,188,3,0.7487963532518751,dainty-sweep-12,608.0,12.0,1737374609.0,{'runtime': 605},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.01,0.09583077652092016,sgd,0.37372905401847334,0.92032169339574,10,162,1336,136,4,0.7877673902568992,swept-sweep-11,597.0,12.0,1737373997.0,{'runtime': 595},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.07943234421601578,sgd,0.1416546545581405,0.8231942928919459,10,153,595,145,1,0.7902961649702382,robust-sweep-10,1417.0,32.0,1737373395.0,{'runtime': 1408},20.68199233716475,18.53302162478083,2.723655523255814,2.7355433872767856,62.690121270635714,3.6158927462748345,60.58855314019702,3.6218230814873418
0.01,0.007026968295778158,sgd,0.2550363381837383,0.9372418442826504,10,72,1986,184,2,0.7590851141805088,ancient-sweep-9,630.0,12.0,1737371974.0,{'runtime': 628},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.01,0.04252145636462904,sgd,0.3359005698452365,0.825233262173942,10,35,647,161,2,0.7857816458346604,volcanic-sweep-8,684.0,12.0,1737371339.0,{'runtime': 682},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.1,0.001251382551474034,sgd,0.45328157274036407,0.8411255188767224,10,8,1470,102,2,0.7175047857228452,fresh-sweep-7,3680.0,38.0,1737370646.0,{'runtime': 3679},24.88888888888889,17.305669199298656,2.4905437394684435,2.8078157871669003,66.2503084802854,1.5324881308691165,64.25869736896796,1.5799779689058344
1.0,0.04142024559849138,sgd,0.27603022895938645,0.8607782589768255,10,242,1725,185,3,0.6949665449545801,bright-sweep-6,2607.0,62.0,1737366953.0,{'runtime': 2605},24.114942528735632,22.028053769725307,2.7145543981481484,2.711267605633803,66.38106082581797,3.5242003435863873,64.30026185627,3.5298828125
1.0,0.035149523348303416,sgd,0.4345192943637387,0.8949404442080306,10,31,970,111,4,0.6029458273397795,serene-sweep-5,5475.0,90.0,1737364342.0,{'runtime': 5473},38.24521072796935,24.95032144944477,2.5935180374109263,2.6515264096467392,67.98862194820995,3.3471524375922694,65.10661290992975,3.362456764800515
0.01,0.04390369083664687,sgd,0.4839465880186927,0.868230591816468,10,116,1095,20,4,0.6654201562444176,eager-sweep-4,640.0,12.0,1737358862.0,{'runtime': 639},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
0.1,0.06531197190264618,sgd,0.3955197674746787,0.8746266703699116,10,239,1576,100,3,0.4711805768260972,azure-sweep-3,1149.0,26.0,1737358217.0,{'runtime': 1148},40.77394636015326,29.222676797194623,2.0571555397727272,2.474093967013889,69.55721713981409,1.0511448099793177,66.63202959391495,1.1255221225247525
0.01,0.009395520342242492,sgd,0.14003204205881248,0.9715688257356524,10,209,1162,199,3,0.5268141782114375,zany-sweep-2,567.0,12.0,1737357063.0,{'runtime': 566},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN
1.0,0.007086322706218318,sgd,0.28385779505730985,0.8232294288969221,10,101,1853,50,5,0.6773005280438859,smooth-sweep-1,2112.0,42.0,1737356482.0,{'runtime': 2110},31.126436781609197,19.544126241963763,2.6703125,2.715659466911765,66.01088448333341,3.474444550721469,64.79072280643419,3.480599503138075
