0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
0,634,6,9,0,34,3,60,4,3,0,1,0,0,13,55
0,8,324,15,0,219,4,106,20,10,0,0,0,0,1,16
0,0,112,633,0,13,0,14,0,0,0,0,0,0,5,4
0,12,485,14,1,225,9,325,85,46,0,0,0,0,26,212
0,6,16,5,0,832,60,141,7,69,0,0,0,0,3,15
0,0,2,0,0,17,75,10,0,0,0,0,0,0,1,2
0,2,13,3,0,29,5,580,8,2,0,0,0,0,2,10
0,11,32,20,0,19,5,144,11,0,0,1,0,0,5,90
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,189,128,122,0,1124,14,1262,98,55,14,0,0,14,166,664
0,29,37,20,0,449,32,112,14,1,1,545,0,3,8,264
0,7,54,19,0,195,3,397,54,19,18,1,0,0,12,108
0,6,1,3,0,76,1,26,4,0,2,0,0,0,2,20
0,5,5,1,0,9,0,41,3,3,0,0,0,0,56,12
0,9,13,9,0,37,5,79,5,1,0,0,0,1,10,328
