0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,2,0,1,0,0,9,0,0,2,0,0
0,65,0,0,0,1,2,5,0,0,87,0,0,0,0,0
1,6,560,0,0,365,30,189,4,1,659,0,0,2,0,0
1,4,63,119,0,70,5,106,0,0,585,0,0,0,1,0
0,6,184,0,0,111,13,80,2,0,905,1,0,0,0,2
0,2,66,0,0,1003,105,64,1,0,476,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,0,218,9,475,0,0,195,0,0,0,0,0
2,8,12,0,0,15,8,44,0,0,231,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,69,168,0,0,148,11,582,29,1,3233,0,0,11,1,0
0,11,22,0,0,71,32,52,7,0,332,169,0,0,0,0
2,10,240,0,0,99,6,337,9,0,3276,1,0,5,0,0
0,0,2,0,0,1,1,2,0,0,21,0,0,0,0,0
2,7,2,0,0,19,1,27,0,0,180,0,0,0,3,0
0,3,12,0,0,48,26,30,0,1,533,1,0,11,0,43
