name_ima,Expected,Catalog_predict,WildClip_predict,BioCLIP_predict
0_0_58ff0e60-23d2-11e8-a6a3-ec086b02610b,bird,bird,coyote,rabbit
0_0_597e6387-23d2-11e8-a6a3-ec086b02610b,bird,bird,deer,fox
0_0_59a30dcb-23d2-11e8-a6a3-ec086b02610b,bird,bird,coyote,skunk
0_0_59b483ab-23d2-11e8-a6a3-ec086b02610b,bird,bird,rodent,skunk
0_0_59b938dc-23d2-11e8-a6a3-ec086b02610b,bird,bird,rodent,skunk
0_0_59cb36f1-23d2-11e8-a6a3-ec086b02610b,bird,bird,car,dog
0_0_5a1fe830-23d2-11e8-a6a3-ec086b02610b,bird,bird,coyote,rabbit
0_1_596bda02-23d2-11e8-a6a3-ec086b02610b,bird,bird,bobcat,deer
0_3_586ade25-23d2-11e8-a6a3-ec086b02610b,bird,bird,bobcat,rabbit
0_0_585daba0-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_5871852b-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,raccoon
0_0_5878298f-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,dog
0_0_587b7e5a-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,rabbit,badger
0_0_587b7e9d-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,cat
0_0_587eec05-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,dog,fox
0_0_58cca68b-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,empty
0_0_58df676f-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_58df67cf-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_58f2940c-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_58f4250e-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_58f8cf85-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,dog
0_0_58f8d027-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_58fbeeb2-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_590b9dbc-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,dog
0_0_590d2a5e-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_591b2371-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_59328b5e-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_5935a6c3-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,rabbit
0_0_5935a891-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,cat
0_0_5938c028-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_593ef68d-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_5971f904-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_5975147f-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_5976a4b4-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_5976a588-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,dog
0_0_59830829-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,dog
0_0_598494f2-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_59849878-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_5994203d-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_59a62aac-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,dog
0_0_59b12e74-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,cat
0_0_59b937d3-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_59b939f1-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,cat
0_0_59c66c9b-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,skunk
0_0_59c99c02-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,cat
0_0_59ccd338-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,rabbit
0_0_59cf446b-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_59cf4610-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_59d4199d-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_59ddc116-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_59e2a514-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,dog
0_0_59ef8db1-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,fox
0_0_5a0c9c12-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,skunk
0_0_5a0c9da6-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,empty
0_0_5a14a752-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,empty
0_0_5a1641cd-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_5a1b1306-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,fox
0_0_5a1b168a-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,bird
0_0_5a1cafac-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,dog
0_0_5a1cb06c-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,cat,opossum
0_0_5a231077-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,coyote,fox
0_0_5a2c8696-23d2-11e8-a6a3-ec086b02610b,bobcat,bobcat,empty,badger
2_0_59738714-23d2-11e8-a6a3-ec086b02610b,car,car,bobcat,rabbit
2_0_59b48481-23d2-11e8-a6a3-ec086b02610b,car,car,bird,fox
2_0_59d8eaa4-23d2-11e8-a6a3-ec086b02610b,car,car,badger,rodent
2_0_59e10445-23d2-11e8-a6a3-ec086b02610b,car,car,cat,cat
2_0_59e918b7-23d2-11e8-a6a3-ec086b02610b,car,car,bobcat,cat
2_0_59f4618b-23d2-11e8-a6a3-ec086b02610b,car,car,badger,rabbit
2_0_59fc7f79-23d2-11e8-a6a3-ec086b02610b,car,car,bobcat,fox
2_0_5a2af47e-23d2-11e8-a6a3-ec086b02610b,car,car,badger,empty
0_0_5858bfc4-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_5858bfe0-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,raccoon
0_0_585da93b-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58678dc9-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,dog
0_0_586ade10-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,fox
0_0_586ae141-23d2-11e8-a6a3-ec086b02610b,cat,cat,rabbit,rabbit
0_0_586c87d0-23d2-11e8-a6a3-ec086b02610b,cat,cat,fox,empty
0_0_586c8a02-23d2-11e8-a6a3-ec086b02610b,cat,cat,dog,dog
0_0_586e2dc9-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,rabbit
0_0_586e2dff-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_586fdc0d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58718576-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,rabbit
0_0_5871861c-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58732fba-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58782b49-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,bobcat
0_0_5879d4f6-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_587b7ce8-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58823b8f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,deer
0_0_5883e7b7-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,empty
0_0_5883ea40-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_5883eabf-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,rabbit
0_0_588716ad-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,opossum
0_0_588719cf-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,empty
0_0_588719f9-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_588c121e-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,fox
0_0_588f6810-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58911080-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_5892b3a6-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_5892b40b-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,deer
0_0_5897b347-23d2-11e8-a6a3-ec086b02610b,cat,cat,dog,dog
0_0_589cb209-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_589e67f5-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58a1c935-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,skunk
0_0_58a1c9b5-23d2-11e8-a6a3-ec086b02610b,cat,cat,dog,dog
0_0_58a1c9e0-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,raccoon
0_0_58a1ca14-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58a52e80-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58a53022-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58a6e946-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,dog
0_0_58aa588d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,skunk
0_0_58af74cd-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58af751f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,bobcat
0_0_58b821a4-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,dog
0_0_58b821db-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,skunk
0_0_58bb8c48-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58c0338b-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,rabbit
0_0_58c0349f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58c034d9-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58c03604-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58c4d7b1-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58c663e4-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58c66544-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58c7f17e-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58c97d71-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,dog
0_0_58ce3f48-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_58ce3fb0-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,dog
0_0_58cfca7c-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58cfcab8-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58d1607b-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58d1618a-23d2-11e8-a6a3-ec086b02610b,cat,cat,opossum,rabbit
0_0_58d2e9eb-23d2-11e8-a6a3-ec086b02610b,cat,cat,opossum,fox
0_0_58d2eb25-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,fox
0_0_58d47d5e-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_0_58d47f2b-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,fox
0_0_58d7a180-23d2-11e8-a6a3-ec086b02610b,cat,cat,rabbit,rabbit
0_0_58dabfd2-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58dac078-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,skunk
0_0_58e0f735-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58e2812b-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,empty
0_0_58eac918-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,skunk
0_0_58ede408-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,raccoon
