,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,89,0,0,10,2,0,0,0,6,0,2,2,1,1,0,5,0,1,14,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,1
1,1,35,0,12,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,285,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,11,0,0,1,1
3,1,1,0,67,0,0,0,0,5,0,0,2,3,0,0,2,0,0,16,0,0,18,0,0,1,0,7,0,0,5,0,0,1,0,0,2,0,0,0,0
4,1,0,0,0,1994,0,0,0,0,3,111,1,11,7,3,0,2,4,13,0,3,0,0,0,0,1,0,0,0,1,0,0,0,5,0,61,0,0,347,4
5,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,1,0
6,0,0,0,2,0,0,23,0,6,0,0,1,5,0,0,1,0,2,2,0,0,3,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
7,0,1,1,0,0,0,0,540,0,0,2,0,11,11,1,0,1,0,60,0,0,2,0,7,21,3,0,1,0,0,0,0,25,0,0,5,0,0,5,12
8,1,0,0,5,0,0,1,0,121,1,1,16,59,0,0,6,6,0,18,0,8,3,0,0,7,0,0,0,0,70,0,0,0,0,0,4,0,0,1,0
9,0,0,0,0,8,0,0,0,0,768,5,24,36,7,1,0,188,0,1,0,8,0,1,0,4,1,0,0,0,0,0,1,0,22,0,3,1,0,67,9
10,0,0,0,0,23,0,0,0,0,1,2534,5,8,12,1,0,2,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,2,9,0,0,67,19
11,0,0,0,2,0,0,0,0,3,16,7,1842,1048,12,1,0,112,0,8,0,90,1,2,0,10,1,0,0,0,28,0,1,0,5,0,7,0,0,13,6
12,2,1,0,8,0,0,0,2,16,7,16,485,12385,15,2,9,33,0,86,1,28,7,2,0,36,0,1,2,0,43,1,7,1,11,0,20,0,0,24,17
13,0,0,0,1,0,0,0,1,0,0,33,3,22,4127,2,0,53,0,5,0,4,0,1,0,7,0,0,1,0,0,0,1,1,6,0,1,0,0,23,5
