0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
5,559,7,6,2,11,1,22,3,21,125,4,37,1,17,1
0,1,418,24,37,37,7,42,9,76,37,4,30,0,1,0
0,0,43,736,0,0,0,0,0,0,0,0,0,0,1,1
0,0,364,8,374,32,8,128,13,114,117,1,237,0,40,4
1,0,21,10,3,829,48,31,4,95,55,1,53,1,2,0
0,0,3,0,0,21,75,3,0,1,0,0,3,0,1,0
0,0,4,2,8,7,3,529,1,20,51,3,12,1,11,2
11,4,5,15,0,5,4,33,19,75,52,2,53,0,14,46
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
43,8,45,173,2,121,10,130,47,1011,1335,6,816,3,95,5
1,17,51,34,1,129,19,31,6,105,178,754,105,5,22,57
3,1,33,17,8,19,7,60,10,147,201,5,371,0,4,1
0,1,0,5,0,35,0,5,0,18,55,0,19,0,3,0
2,2,1,1,0,1,0,5,0,7,18,0,13,0,84,1
4,7,22,4,1,12,3,17,0,19,76,2,39,10,22,259
