0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,1,0,2,0,0,0,3,8,0,0,0,0,0
0,113,3,1,1,7,0,4,0,8,10,0,4,0,5,4
1,2,583,80,56,155,11,177,27,414,161,0,134,1,8,7
0,1,5,924,0,0,0,3,0,0,9,0,5,0,7,0
0,12,104,15,390,23,5,119,17,185,170,3,170,0,84,7
0,4,46,14,7,955,96,91,9,193,162,6,116,3,8,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,8,5,8,18,10,772,1,16,28,2,3,0,29,5
15,5,26,39,1,6,0,14,16,61,51,2,40,0,33,12
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,10,53,380,5,270,11,274,38,1338,1069,2,701,1,84,3
0,5,8,75,2,154,17,19,6,34,64,249,35,4,3,21
14,2,96,121,32,90,2,148,70,619,1116,5,1626,0,42,2
0,0,1,1,0,4,0,1,0,5,13,0,2,0,0,0
4,8,2,18,2,5,0,26,1,44,33,0,29,0,69,0
1,11,16,4,2,25,1,32,4,45,102,4,36,10,12,403
